name,contact
The Abletones Big Band,http://www.theabletones.com
Alan Evans Trio,https://alanevanstrio.bandcamp.com/
Alejo Granados,https://www.facebook.com/AlejoGranadosT
Andrew Cole,https://www.facebook.com/andrewcolemusic
Andrey Yaroshinsky & The Gnessin Academy Chamber Orchestra,
Angela Thomas Wade,https://www.myspace.com/angelamthomas
Anna Blanton,http://www.annablantonmusic.com
Araujo,https://www.ronnyboer.de/araujo
Asam Classical Soloists,https://www.facebook.com/asamclassicalsoloists
The Balazs Daniel Boogie Woogie Trio,http://www.songs.hu/balazsdanielboogiewoogietrio
Barnstar!,http://www.wearebarnstar.com/
Blue Lit Moon,https://www.facebook.com/bluelitmoon
Bolz & Knecht,http://www.bolzundknecht.de/
Camilla Francesca Bull,http://camillabull.com
Chalga,https://www.facebook.com/chalgaband/
Colebrook Road,https://www.colebrookroad.com/
Cyrille Aimée,https://cyrillemusic.com/
David Crosby,https://davidcrosby.com/
David Youngs,http://www.davidyoungs.net
Dino On The Loose,https://dinoontheloose.bandcamp.com/
Don Camillo Choir,https://www.doncamillo-chor.de/en
Eddie Garrido,http://www.eddie-g.com/
Enda Reilly,http://www.endareilly.com
Ethan Winer,http://ethanwiner.com/concerto.html
The Funny Valentines,http://www.thefunnyvalentines.de
Ghostly Beard,https://ghostlybeard.com
Glen McPhee,https://soundcloud.com/glen-mcphee-602935108/a-sailor-once-more
Jade Safirah,https://open.spotify.com/artist/26VwVo8tDCAvwXmj5VyEpK
James May,https://store.cdbaby.com/Artist/JamesMay
Jeffrey Hayat,http://www.universalsampling.com
Jesper Buhl Trio,https://www.facebook.com/JesperBuhlTrio/
Joanna Ward,https://soundcloud.com/joannamward
King's College London Baroque Orchestra,
Lindy Hip Big Band,
The Lonely Wild,http://www.thelonelywild.com/
The Long Wait,http://thelongwait.com/
Lorenzo Price,https://lorenzoprice.bandcamp.com/releases
Maurizio Pagnutti Sextet,http://www.artesuono.it/album.aspx?id=76&p=0
Mike Skalandunas,https://soundcloud.com/mskalandunas
Mirroman,http://www.triviul.com/
Nicki Bluhm & The Gramblers,http://www.nickibluhm.com/
Nikola Stajic feat. Vlasis Kostas,http://www.nikolastajic.com/
Öjebokören,http://www.ojebokoren.se/
Pretty Saro,https://www.facebook.com/PrettySaroBand/
Primakova,https://primakova.bandcamp.com/
Rod Alexander,http://www.rjalexander-art.com/
Rovers Ahead,https://www.facebook.com/roversahead/
Santi Vega,http://www.santivega.com
Selwyn Jazz,https://www.facebook.com/selwynjazz/
Simon Lyn,https://soundcloud.com/etchedbrightwithsunlight
Spektakulatius,http://www.spektakulatius.de
Swing Bazar,https://www.facebook.com/swingbazar/
Timo Carlier,https://soundcloud.com/carlier
Tom McKenzie,https://tommckenzie.bandcamp.com
Uncle Dad,
U T Gandhi,
Will Knox,http://www.will-knox.com/
Wolf's Head & Vixen Morris Band,https://wolfsheadandvixen.com/
Woven Hollow,https://wovenhollow.com/
Zwiepack,http://www.christianbolz.info/?seite=31
Albert Kader,https://soundcloud.com/daek
AM Contra,https://anguswoodhead.bandcamp.com
APZX,https://soundcloud.com/apzx
Aron Jaeger,
Babe Grand,https://open.spotify.com/album/3PvH4RL6NE7KdiaeVAPsNU?si=VUwWg5xTRHuy1KE6kB78Vg
Bravestar,
c:fx,https://soundcloud.com/c-fx
Carol Dant,https://soundcloud.com/caroldant
Chris Durban,https://www.myspace.com/chrisdurban
cryonicPAX,
FIN,https://www.cdbaby.com/cd/fin7
Francisco Perez,
Galias,https://www.facebook.com/galiasmusic
Georgia Wonder,http://www.georgiawonder.com
Girls Under Glass,https://www.myspace.com/girlsunderglass
Guarna,https://open.spotify.com/artist/4wd1OlvYQJ6igH0z2uaXXm?si=VgQTdsZLRwO39DJKKTL1Rw
Ian Dearden,http://www.trystrecords.com.au
J0K3R,https://soundcloud.com/jimmyklane
James Fabio,https://www.lunarsoundproductions.com/
John A Ardelli,https://soundcloud.com/pedalingprince/asiza
J P Lantieri,https://flemcy.lnk.to/FLEM021
Juliet's Rescue,https://julietsrescue.bandcamp.com/
Karl Hungus,https://www.youtube.com/c/KarlHungusofficial
Ludø,https://fanlink.to/sandstorm
Major Lazer,https://majorlazer.com
The Mountaineering Club Orchestra,https://themountaineeringcluborchestra.tumblr.com/Base-camp
μ,http://www.zyisrad.com/
Mustafa Albazy,http://www.albazy.com/
Nahum Strickland,
Nervbloc,https://soundcloud.com/nervbloc
Nominal6,https://soundcloud.com/nominal6
OctopusOnFire,https://soundcloud.com/octopusonfire-1
Punkdisco,http://www.punkdisco.co.uk
Rattletree,https://rattletree.com/
Skelpolu,https://skelpolu.bandcamp.com/
Speak Softly,https://speaksoftly.bandcamp.com
Tim Taler,http://timtaler.su/alboms
Actions,https://www.facebook.com/actionsuk
Adam Buckley,https://www.adambuckleyproducer.com/
Ajay Nagarkoti & Vibhu Dixit,https://soundcloud.com/letsrecord/aye-mere-humsafarajay-nagarkotilets-record
Al James,http://www.aljames.co.uk
Amber Skye,http://amberskyemusic.com
Amy Helm & The Handsome Strangers,http://amyhelm.com/
Angelo Boltini,https://angeloboltini.bandcamp.com
As We Are,https://backl.ink/143147448
Atlantis Bound,https://www.facebook.com/AtlantisBound
Banda Magda,http://www.bandamagda.com/
BaumXmedia,https://baumxmedia.ca/
Ben Carrigan,http://www.bencarrigan.com
Benjamin John,https://www.facebook.com/BenjaminJohnSongs/
Bruks,
Carlitos Gonzalez,https://carlitosmusic.bandcamp.com
Cunegonda,
David Tyo,https://davidtyo.bandcamp.com
Digital Humans,https://www.soundcloud.com/digitalhumans
Dorothea Wessel,https://dorotheawessel.com/
Drumtracks,https://soundcloud.com/drumtracks
Eduard Semenov,https://www.facebook.com/pcholpoetrymusic
E J Rios,https://fanlink.to/EJRiosMusic
Finlay,https://awal.ffm.to/amillionplaces
Fredy V,https://www.facebook.com/fredyvmusic/
Human Radio,
Ilmari Kontia,https://soundcloud.com/janipunikani
James Elder & Mark M Thompson,https://www.myspace.com/jameseldermusic
Jay Menon,
Jules King,
Kat Wright,https://www.katwright.com/
