title,file_zip,file_size,number_channels,preview,genre,artist
"Corine, Corine",https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/AbletonesBigBand_CorineCorine_Full.zip,393 MB,19,https://previews.cambridge-mt.com/CorineCorine_Full_Preview.mp3,0,0
Song Of India,https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/AbletonesBigBand_SongOfIndia_Full.zip,423 MB,18,https://previews.cambridge-mt.com/SongOfIndia_Full_Preview.mp3,0,0
I'm Coming Home,https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/AlanEvansTrio_ImComingHome_Full.zip,1700 MB,16,https://previews.cambridge-mt.com/ImComingHome_Full_Preview.mp3,0,1
Rumba Chonta,https://mtkdata.cambridgemusictechnology.co.uk/MTK007/AlejoGranados_RumbaChonta_Full.zip,315 MB,20,https://previews.cambridge-mt.com/RumbaChonta_Full_Preview.mp3,0,2
Dead Roses,https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/AndrewCole_DeadRoses_Full.zip,756 MB,33,https://previews.cambridge-mt.com/DeadRoses_Full_Preview.mp3,0,3
.A. Mozart's'Piano Concerto No.12 K414 (Allegro),https://mtkdata.cambridgemusictechnology.co.uk/MTK015/GnessinAcademyOrchestra_PianoConcertoK414_Full.zip,1097 MB,10,https://previews.cambridge-mt.com/PianoConcertoK414_Full_Preview.mp3,0,4
Milk Cow Blues,https://mtkdata.cambridgemusictechnology.co.uk/MTK002/AngelaThomasWade_MilkCowBlues_Full.zip,204 MB,11,https://previews.cambridge-mt.com/MilkCowBlues_Full_Preview.mp3,0,5
Rachel,https://mtkdata.cambridgemusictechnology.co.uk/MTK010/AnnaBlanton_Rachel_Full.zip,287 MB,10,https://previews.cambridge-mt.com/Rachel_Full_Preview.mp3,0,6
Waves,https://mtkdata.cambridgemusictechnology.co.uk/MTK010/AnnaBlanton_Waves_Full.zip,256 MB,13,https://previews.cambridge-mt.com/Waves_Full_Preview.mp3,0,6
The Saga Of Harrison Crabfeathers,https://mtkdata.cambridgemusictechnology.co.uk/MTK016/Araujo_TheSagaOfHarrisonCrabfeathers_Full.zip,223 MB,13,https://previews.cambridge-mt.com/TheSagaOfHarrisonCrabfeathers_Full_Preview.mp3,0,7
